start,end
1747683347,1747683708
1747683347,1747683710
1747683347,1747683710
1747683347,1747683712
1747683347,1747683718
1747683344,1747683418
1747683347,1747683717
1747683347,1747683720
1747683347,1747683719
1747683347,1747683723
1747683349,1747683840
1747683347,1747683736
1747683347,1747683710
1747683347,1747683715
1747683347,1747683719
1747683347,1747683713
1747683344,1747683426
1747683347,1747683720
1747683347,1747683725
1747683347,1747683728
1747683347,1747683728
1747683347,1747683730
1747683348,1747683820
1747683349,1747683842
1747683349,1747683846
1747683348,1747683773
1747683348,1747683801
1747683344,1747683441
1747683348,1747683826
1747683348,1747683775
1747683348,1747683780
1747683348,1747683829
1747683348,1747683774
1747683348,1747683781
1747683348,1747683783
1747683349,1747683887
1747683350,1747684007
1747683348,1747683802
1747683344,1747683442
1747683349,1747683896
1747683347,1747683737
1747683348,1747683747
1747683348,1747683743
1747683348,1747683750
1747683348,1747683750
1747683348,1747683751
1747683347,1747683716
1747683347,1747683714
1747683347,1747683714
1747683344,1747683364
1747683347,1747683716
1747683347,1747683727
1747683347,1747683717
1747683347,1747683726
1747683347,1747683725
1747683347,1747683724
1747683347,1747683730
1747683347,1747683731
1747683347,1747683730
1747683347,1747683729
1747683344,1747683447
1747683349,1747683861
1747683348,1747683750
1747683348,1747683792
1747683348,1747683798
1747683350,1747684011
1747683348,1747683793
1747683348,1747683789
1747683348,1747683750
1747683348,1747683753
1747683350,1747683964
1747683344,1747683374
1747683348,1747683805
1747683348,1747683802
1747683350,1747683963
1747683348,1747683811
1747683348,1747683803
1747683349,1747683884
1747683349,1747683864
1747683349,1747683902
1747683349,1747683898
1747683349,1747683920
1747683344,1747683440
1747683350,1747683939
1747683353,1747684240
1747683350,1747683952
1747683354,1747684251
1747683351,1747684095
1747683352,1747684170
1747683352,1747684167
1747683349,1747683913
1747683348,1747683823
1747683348,1747683782
1747683344,1747683422
1747683344,1747683423
1747683348,1747683777
1747683348,1747683825
1747683348,1747683782
1747683348,1747683783
1747683349,1747683834
1747683349,1747683844
1747683349,1747683846
1747683348,1747683799
1747683348,1747683798
1747683349,1747683886
1747683344,1747683370
1747683349,1747683880
1747683347,1747683714
1747683348,1747683793
1747683348,1747683790
1747683350,1747683956
1747683348,1747683792
1747683350,1747683989
1747683354,1747684229
1747683353,1747684229
1747683349,1747683892
1747683344,1747683371
1747683349,1747683838
1747683348,1747683788
1747683349,1747683868
1747683348,1747683791
1747683347,1747683737
1747683348,1747683740
1747683348,1747683739
1747683348,1747683744
1747683348,1747683742
1747683348,1747683739
1747683344,1747683362
1747683348,1747683745
1747683348,1747683800
1747683348,1747683806
1747683349,1747683857
1747683349,1747683862
1747683348,1747683810
1747683347,1747683734
1747683349,1747683871
1747683348,1747683788
1747683350,1747684027
1747683344,1747683424
1747683349,1747683906
1747683349,1747683896
1747683349,1747683898
1747683349,1747683906
1747683351,1747684042
1747683349,1747683910
1747683349,1747683915
1747683349,1747683914
1747683350,1747684017
1747683354,1747684260
1747683344,1747683465
1747683349,1747683912
1747683350,1747684029
1747683351,1747684075
1747683351,1747684096
1747683351,1747684097
1747683351,1747684110
1747683351,1747684102
1747683347,1747683733
1747683347,1747683734
1747683347,1747683734
1747683344,1747683489
1747683347,1747683733
1747683347,1747683737
1747683347,1747683732
1747683349,1747683851
1747683350,1747684023
1747683350,1747684044
1747683350,1747684034
1747683350,1747684046
1747683350,1747683969
1747683350,1747683979
1747683345,1747683489
1747683350,1747683978
1747683350,1747683981
1747683350,1747683980
1747683350,1747683977
1747683350,1747683994
1747683350,1747683997
1747683350,1747683996
1747683350,1747683990
1747683350,1747683999
1747683350,1747684001
1747683345,1747683498
1747683347,1747683740
1747683347,1747683737
1747683349,1747683908
1747683351,1747684095
1747683349,1747683923
1747683351,1747684084
1747683349,1747683915
1747683349,1747683920
1747683354,1747684256
1747683352,1747684123
1747683344,1747683450
1747683352,1747684123
1747683352,1747684125
1747683352,1747684141
1747683352,1747684139
1747683351,1747684049
1747683351,1747684068
1747683351,1747684051
1747683351,1747684036
1747683351,1747684029
1747683351,1747684064
1747683344,1747683406
1747683344,1747683480
1747683352,1747684128
1747683349,1747683892
1747683347,1747683736
1747683349,1747683890
1747683349,1747683916
1747683349,1747683919
1747683350,1747684018
1747683350,1747683977
1747683351,1747684058
1747683350,1747683987
1747683344,1747683473
1747683351,1747684062
1747683354,1747684238
1747683351,1747684091
1747683351,1747684063
1747683352,1747684147
1747683352,1747684158
1747683352,1747684155
1747683351,1747684081
1747683352,1747684169
1747683352,1747684164
1747683344,1747683481
1747683347,1747683740
1747683350,1747684005
1747683350,1747684010
1747683350,1747684026
1747683350,1747684007
1747683351,1747684091
1747683349,1747683926
1747683351,1747684073
1747683350,1747684014
1747683349,1747683927
1747683345,1747683519
1747683350,1747684008
1747683349,1747683921
1747683350,1747683945
1747683351,1747684086
1747683349,1747683937
1747683350,1747683934
1747683350,1747683984
1747683352,1747684214
1747683348,1747683796
1747683348,1747683796
1747683345,1747683525
1747683348,1747683796
1747683350,1747684012
1747683349,1747683862
1747683349,1747683858
1747683349,1747683859
1747683349,1747683862
1747683349,1747683865
1747683349,1747683923
1747683350,1747683993
1747683350,1747683950
1747683345,1747683544
1747683350,1747683994
1747683350,1747684025
1747683350,1747684025
1747683350,1747684017
1747683349,1747683855
1747683349,1747683863
1747683349,1747683861
1747683349,1747683858
1747683350,1747683975
1747683350,1747684018
1747683345,1747683568
1747683350,1747684034
1747683348,1747683803
1747683350,1747683981
1747683350,1747683982
1747683350,1747683989
1747683350,1747684023
1747683350,1747684009
1747683350,1747684004
1747683350,1747683998
1747683350,1747683981
1747683345,1747683500
1747683350,1747684040
1747683349,1747683907
1747683349,1747683922
1747683349,1747683934
1747683350,1747683941
1747683351,1747684071
1747683350,1747684025
1747683350,1747683928
1747683351,1747684078
1747683351,1747684060
1747683345,1747683526
1747683349,1747683871
1747683351,1747684098
1747683351,1747684096
1747683351,1747684062
1747683351,1747684050
1747683349,1747683920
1747683351,1747684071
1747683350,1747683937
1747683354,1747684266
1747683350,1747683948
1747683345,1747683529
1747683350,1747683959
1747683349,1747683851
1747683352,1747684146
1747683352,1747684145
1747683352,1747684145
1747683352,1747684157
1747683351,1747684053
1747683350,1747683955
1747683350,1747683968
1747683350,1747683990
